condition,country,actor.id,actor.age.years,actor.gender,dist,eq.uneq,decision,value,trial
AI,Uganda,uganda.actor.34,4.5,M,t4.dist,U,reject,high,t4
AI,Uganda,uganda.actor.35,5,F,t4.dist,U,reject,low,t4
DI,Uganda,uganda.actor.36,6,F,t4.dist,E,reject,low,t4
AI,Uganda,uganda.actor.37,5,M,t4.dist,U,accept,high,t4
DI,Uganda,uganda.actor.38,6,F,t4.dist,U,accept,low,t4
AI,Uganda,uganda.actor.39,5,M,t4.dist,U,accept,low,t4
DI,Uganda,uganda.actor.40,6,M,t4.dist,E,accept,low,t4
DI,Uganda,uganda.actor.41,6,F,t4.dist,U,reject,high,t4
AI,Uganda,uganda.actor.42,4.5,M,t4.dist,E,reject,low,t4
AI,Uganda,uganda.actor.43,5,F,t4.dist,U,accept,high,t4
AI,Uganda,uganda.actor.44,6,F,t4.dist,E,accept,low,t4
AI,Uganda,uganda.actor.45,5,F,t4.dist,U,accept,low,t4
DI,Uganda,uganda.actor.47,6,M,t4.dist,U,accept,high,t4
AI,Uganda,uganda.actor.48,5,F,t4.dist,E,accept,high,t4
DI,Uganda,uganda.actor.49,6,M,t4.dist,E,reject,high,t4
AI,Uganda,uganda.actor.50,6,M,t4.dist,E,reject,high,t4
DI,Uganda,uganda.actor.51,5,F,t4.dist,U,accept,high,t4
DI,Uganda,uganda.actor.53,6,F,t4.dist,U,accept,high,t4
DI,Uganda,uganda.actor.54,4,F,t4.dist,U,reject,low,t4
AI,Uganda,uganda.actor.55,5,F,t4.dist,U,reject,high,t4
AI,Uganda,uganda.actor.56,5,M,t4.dist,U,reject,high,t4
DI,Uganda,uganda.actor.57,6,M,t4.dist,U,accept,high,t4
AI,Uganda,uganda.actor.58,6,M,t4.dist,E,accept,low,t4
AI,Uganda,uganda.actor.59,15,M,t4.dist,E,accept,low,t4
AI,Uganda,uganda.actor.60,13,F,t4.dist,U,reject,low,t4
AI,Uganda,uganda.actor.61,13,F,t4.dist,E,accept,high,t4
DI,Uganda,uganda.actor.62,13,M,t4.dist,U,reject,high,t4
DI,Uganda,uganda.actor.63,13,M,t4.dist,U,reject,low,t4
AI,Uganda,uganda.actor.64,15,M,t4.dist,U,accept,high,t4
AI,Uganda,uganda.actor.65,13,F,t4.dist,U,reject,low,t4
DI,Uganda,uganda.actor.66,15,F,t4.dist,U,reject,high,t4
DI,Uganda,uganda.actor.67,12,M,t4.dist,U,reject,low,t4
DI,Uganda,uganda.actor.68,13,M,t4.dist,E,accept,high,t4
DI,Uganda,uganda.actor.69,13,F,t4.dist,E,accept,low,t4
AI,Uganda,uganda.actor.70,15,M,t4.dist,U,reject,low,t4
AI,Uganda,uganda.actor.71,13,M,t4.dist,E,accept,high,t4
DI,Uganda,uganda.actor.72,13,F,t4.dist,E,reject,high,t4
AI,Uganda,uganda.actor.73,13,F,t4.dist,U,reject,high,t4
DI,Uganda,uganda.actor.74,14,F,t4.dist,U,reject,high,t4
DI,Uganda,uganda.actor.75,13,M,t4.dist,U,accept,low,t4
DI,Uganda,uganda.actor.76,13,M,t4.dist,U,reject,high,t4
AI,Uganda,uganda.actor.77,13,F,t4.dist,E,accept,low,t4
AI,Uganda,uganda.actor.78,13,M,t4.dist,U,reject,high,t4
AI,Uganda,uganda.actor.79,13,M,t4.dist,U,accept,high,t4
AI,Uganda,uganda.actor.80,14,M,t4.dist,E,reject,low,t4
DI,Uganda,uganda.actor.81,15,M,t4.dist,E,accept,high,t4
DI,Uganda,uganda.actor.82,13,M,t4.dist,E,reject,low,t4
AI,Uganda,uganda.actor.83,14,F,t4.dist,U,reject,high,t4
DI,Uganda,uganda.actor.84,13,F,t4.dist,E,reject,low,t4
AI,Uganda,uganda.actor.85,14,M,t4.dist,E,accept,low,t4
DI,Uganda,uganda.actor.86,13,F,t4.dist,E,reject,low,t4
DI,Uganda,uganda.actor.87,13,M,t4.dist,U,reject,low,t4
AI,Uganda,uganda.actor.88,10,M,t4.dist,U,reject,high,t4
AI,Uganda,uganda.actor.89,11,F,t4.dist,U,accept,high,t4
DI,Uganda,uganda.actor.90,12,M,t4.dist,E,reject,high,t4
DI,Uganda,uganda.actor.91,10,M,t4.dist,U,accept,low,t4
AI,Uganda,uganda.actor.92,11,M,t4.dist,U,accept,high,t4
DI,Uganda,uganda.actor.93,10,F,t4.dist,U,reject,low,t4
AI,Uganda,uganda.actor.94,10,F,t4.dist,U,accept,low,t4
AI,Uganda,uganda.actor.95,11,F,t4.dist,E,accept,high,t4
AI,Uganda,uganda.actor.96,10,F,t4.dist,E,accept,low,t4
AI,Uganda,uganda.actor.97,11,M,t4.dist,U,accept,low,t4
DI,Uganda,uganda.actor.98,10,M,t4.dist,U,accept,low,t4
DI,Uganda,uganda.actor.99,12,F,t4.dist,E,accept,low,t4
AI,Uganda,uganda.actor.100,12,M,t4.dist,E,accept,low,t4
AI,Uganda,uganda.actor.101,12,F,t4.dist,E,accept,high,t4
DI,Uganda,uganda.actor.102,10,F,t4.dist,E,reject,high,t4
AI,Uganda,uganda.actor.103,9,M,t4.dist,U,accept,low,t4
AI,Uganda,uganda.actor.104,11,M,t4.dist,U,accept,low,t4
DI,Uganda,uganda.actor.105,10,M,t4.dist,E,reject,high,t4
AI,Uganda,uganda.actor.106,11,F,t4.dist,U,accept,high,t4
AI,Uganda,uganda.actor.107,12,M,t4.dist,U,reject,low,t4
AI,Uganda,uganda.actor.108,10,M,t4.dist,U,accept,high,t4
DI,Uganda,uganda.actor.109,10,F,t4.dist,E,accept,low,t4
DI,Uganda,uganda.actor.110,11,F,t4.dist,U,reject,high,t4
DI,Uganda,uganda.actor.111,12,F,t4.dist,U,accept,high,t4
AI,Uganda,uganda.actor.112,10,F,t4.dist,U,accept,low,t4
DI,Uganda,uganda.actor.113,10,F,t4.dist,U,reject,high,t4
DI,Uganda,uganda.actor.114,11,M,t4.dist,E,accept,high,t4
AI,Uganda,uganda.actor.115,10,F,t4.dist,U,accept,high,t4
AI,Uganda,uganda.actor.116,11,F,t4.dist,E,accept,low,t4
DI,Uganda,uganda.actor.1,7,F,t5.dist,U,accept,low,t5
AI,Uganda,uganda.actor.2,8,M,t5.dist,E,accept,low,t5
AI,Uganda,uganda.actor.3,8,M,t5.dist,U,accept,low,t5
AI,Uganda,uganda.actor.4,9,M,t5.dist,E,accept,high,t5
DI,Uganda,uganda.actor.5,8,F,t5.dist,U,accept,high,t5
AI,Uganda,uganda.actor.6,7,F,t5.dist,E,accept,high,t5
AI,Uganda,uganda.actor.7,9,F,t5.dist,E,accept,high,t5
AI,Uganda,uganda.actor.8,8,F,t5.dist,E,accept,high,t5
AI,Uganda,uganda.actor.9,8,M,t5.dist,U,reject,high,t5
AI,Uganda,uganda.actor.10,9,F,t5.dist,U,accept,low,t5
DI,Uganda,uganda.actor.11,8,M,t5.dist,U,accept,high,t5
AI,Uganda,uganda.actor.12,8,F,t5.dist,U,accept,high,t5
DI,Uganda,uganda.actor.13,9,F,t5.dist,U,reject,high,t5
AI,Uganda,uganda.actor.14,8,F,t5.dist,U,accept,low,t5
DI,Uganda,uganda.actor.15,7,M,t5.dist,U,reject,low,t5
DI,Uganda,uganda.actor.16,8,F,t5.dist,U,reject,low,t5
DI,Uganda,uganda.actor.17,8,F,t5.dist,U,reject,high,t5
AI,Uganda,uganda.actor.18,9,F,t5.dist,U,reject,high,t5
DI,Uganda,uganda.actor.19,9,M,t5.dist,U,reject,high,t5
DI,Uganda,uganda.actor.20,9,F,t5.dist,U,reject,high,t5
DI,Uganda,uganda.actor.21,8,M,t5.dist,U,reject,high,t5
DI,Uganda,uganda.actor.22,7,F,t5.dist,U,reject,low,t5
AI,Uganda,uganda.actor.23,7,M,t5.dist,E,accept,low,t5
DI,Uganda,uganda.actor.24,7,M,t5.dist,E,reject,low,t5
AI,Uganda,uganda.actor.25,9,F,t5.dist,E,reject,low,t5
DI,Uganda,uganda.actor.26,9,F,t5.dist,U,reject,low,t5
AI,Uganda,uganda.actor.27,7,M,t5.dist,U,accept,low,t5
DI,Uganda,uganda.actor.28,9,M,t5.dist,E,accept,high,t5
AI,Uganda,uganda.actor.29,7,M,t5.dist,E,accept,high,t5
DI,Uganda,uganda.actor.30,7,M,t5.dist,E,accept,low,t5
DI,Uganda,uganda.actor.31,6,M,t5.dist,U,reject,low,t5
DI,Uganda,uganda.actor.32,5,F,t5.dist,U,accept,low,t5
DI,Uganda,uganda.actor.33,6,M,t5.dist,U,accept,high,t5
AI,Uganda,uganda.actor.34,4.5,M,t5.dist,U,accept,high,t5
AI,Uganda,uganda.actor.35,5,F,t5.dist,E,reject,low,t5
DI,Uganda,uganda.actor.36,6,F,t5.dist,U,reject,low,t5
AI,Uganda,uganda.actor.37,5,M,t5.dist,E,accept,high,t5
DI,Uganda,uganda.actor.38,6,F,t5.dist,U,accept,low,t5
AI,Uganda,uganda.actor.39,5,M,t5.dist,E,accept,low,t5
DI,Uganda,uganda.actor.40,6,M,t5.dist,U,accept,low,t5
DI,Uganda,uganda.actor.41,6,F,t5.dist,U,reject,high,t5
AI,Uganda,uganda.actor.42,4.5,M,t5.dist,U,accept,low,t5
AI,Uganda,uganda.actor.43,5,F,t5.dist,E,reject,high,t5
AI,Uganda,uganda.actor.44,6,F,t5.dist,U,accept,low,t5
AI,Uganda,uganda.actor.45,5,F,t5.dist,E,reject,low,t5
DI,Uganda,uganda.actor.47,6,M,t5.dist,U,accept,high,t5
AI,Uganda,uganda.actor.48,5,F,t5.dist,U,reject,high,t5
DI,Uganda,uganda.actor.49,6,M,t5.dist,U,reject,high,t5
AI,Uganda,uganda.actor.50,6,M,t5.dist,U,accept,high,t5
DI,Uganda,uganda.actor.51,5,F,t5.dist,U,accept,high,t5
DI,Uganda,uganda.actor.53,6,F,t5.dist,E,accept,high,t5
DI,Uganda,uganda.actor.54,4,F,t5.dist,U,reject,low,t5
AI,Uganda,uganda.actor.55,5,F,t5.dist,U,accept,high,t5
AI,Uganda,uganda.actor.56,5,M,t5.dist,E,accept,high,t5
DI,Uganda,uganda.actor.57,6,M,t5.dist,U,accept,high,t5
AI,Uganda,uganda.actor.58,6,M,t5.dist,E,accept,low,t5
AI,Uganda,uganda.actor.59,15,M,t5.dist,E,accept,low,t5
AI,Uganda,uganda.actor.60,13,F,t5.dist,E,accept,low,t5
AI,Uganda,uganda.actor.61,13,F,t5.dist,U,accept,high,t5
DI,Uganda,uganda.actor.62,13,M,t5.dist,E,accept,high,t5
DI,Uganda,uganda.actor.63,13,M,t5.dist,E,accept,low,t5
AI,Uganda,uganda.actor.64,15,M,t5.dist,E,reject,high,t5
AI,Uganda,uganda.actor.65,13,F,t5.dist,E,accept,low,t5
DI,Uganda,uganda.actor.66,15,F,t5.dist,E,accept,high,t5
DI,Uganda,uganda.actor.67,12,M,t5.dist,U,reject,low,t5
DI,Uganda,uganda.actor.68,13,M,t5.dist,E,accept,high,t5
DI,Uganda,uganda.actor.69,13,F,t5.dist,U,accept,low,t5
AI,Uganda,uganda.actor.70,15,M,t5.dist,E,accept,low,t5
AI,Uganda,uganda.actor.71,13,M,t5.dist,E,accept,high,t5
DI,Uganda,uganda.actor.72,13,F,t5.dist,E,accept,high,t5
AI,Uganda,uganda.actor.73,13,F,t5.dist,U,reject,high,t5
DI,Uganda,uganda.actor.74,14,F,t5.dist,E,accept,high,t5
DI,Uganda,uganda.actor.75,13,M,t5.dist,E,accept,low,t5
DI,Uganda,uganda.actor.76,13,M,t5.dist,U,reject,high,t5
AI,Uganda,uganda.actor.77,13,F,t5.dist,U,reject,low,t5
AI,Uganda,uganda.actor.78,13,M,t5.dist,E,accept,high,t5
AI,Uganda,uganda.actor.79,13,M,t5.dist,U,reject,high,t5
AI,Uganda,uganda.actor.80,14,M,t5.dist,E,accept,low,t5
DI,Uganda,uganda.actor.81,15,M,t5.dist,U,reject,high,t5
DI,Uganda,uganda.actor.82,13,M,t5.dist,U,reject,low,t5
AI,Uganda,uganda.actor.83,14,F,t5.dist,U,reject,high,t5
DI,Uganda,uganda.actor.84,13,F,t5.dist,U,accept,low,t5
AI,Uganda,uganda.actor.85,14,M,t5.dist,U,accept,low,t5
DI,Uganda,uganda.actor.86,13,F,t5.dist,U,accept,low,t5
DI,Uganda,uganda.actor.87,13,M,t5.dist,E,accept,low,t5
AI,Uganda,uganda.actor.88,10,M,t5.dist,E,accept,high,t5
AI,Uganda,uganda.actor.89,11,F,t5.dist,E,accept,high,t5
DI,Uganda,uganda.actor.90,12,M,t5.dist,U,reject,high,t5
DI,Uganda,uganda.actor.91,10,M,t5.dist,E,accept,low,t5
AI,Uganda,uganda.actor.92,11,M,t5.dist,U,accept,high,t5
DI,Uganda,uganda.actor.93,10,F,t5.dist,U,reject,low,t5
AI,Uganda,uganda.actor.94,10,F,t5.dist,U,accept,low,t5
AI,Uganda,uganda.actor.95,11,F,t5.dist,U,accept,high,t5
AI,Uganda,uganda.actor.96,10,F,t5.dist,U,accept,low,t5
AI,Uganda,uganda.actor.97,11,M,t5.dist,U,accept,low,t5
DI,Uganda,uganda.actor.98,10,M,t5.dist,E,accept,low,t5
DI,Uganda,uganda.actor.99,12,F,t5.dist,U,accept,low,t5
AI,Uganda,uganda.actor.100,12,M,t5.dist,U,accept,low,t5
AI,Uganda,uganda.actor.101,12,F,t5.dist,U,reject,high,t5
DI,Uganda,uganda.actor.102,10,F,t5.dist,U,reject,high,t5
AI,Uganda,uganda.actor.103,9,M,t5.dist,U,accept,low,t5
AI,Uganda,uganda.actor.104,11,M,t5.dist,U,accept,low,t5
DI,Uganda,uganda.actor.105,10,M,t5.dist,U,reject,high,t5
AI,Uganda,uganda.actor.106,11,F,t5.dist,U,accept,high,t5
AI,Uganda,uganda.actor.107,12,M,t5.dist,E,accept,low,t5
AI,Uganda,uganda.actor.108,10,M,t5.dist,U,accept,high,t5
DI,Uganda,uganda.actor.109,10,F,t5.dist,U,reject,low,t5
DI,Uganda,uganda.actor.110,11,F,t5.dist,E,accept,high,t5
DI,Uganda,uganda.actor.111,12,F,t5.dist,U,reject,high,t5
AI,Uganda,uganda.actor.112,10,F,t5.dist,U,accept,low,t5
DI,Uganda,uganda.actor.113,10,F,t5.dist,U,accept,high,t5
DI,Uganda,uganda.actor.114,11,M,t5.dist,U,reject,high,t5
AI,Uganda,uganda.actor.115,10,F,t5.dist,U,accept,high,t5
AI,Uganda,uganda.actor.116,11,F,t5.dist,E,accept,low,t5
DI,Uganda,uganda.actor.1,7,F,t6.dist,E,accept,low,t6
AI,Uganda,uganda.actor.2,8,M,t6.dist,U,accept,low,t6
AI,Uganda,uganda.actor.3,8,M,t6.dist,U,reject,low,t6
AI,Uganda,uganda.actor.4,9,M,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.5,8,F,t6.dist,U,reject,high,t6
AI,Uganda,uganda.actor.6,7,F,t6.dist,E,accept,high,t6
AI,Uganda,uganda.actor.7,9,F,t6.dist,E,accept,high,t6
AI,Uganda,uganda.actor.8,8,F,t6.dist,U,accept,high,t6
AI,Uganda,uganda.actor.9,8,M,t6.dist,U,reject,high,t6
AI,Uganda,uganda.actor.10,9,F,t6.dist,U,accept,low,t6
DI,Uganda,uganda.actor.11,8,M,t6.dist,U,reject,high,t6
AI,Uganda,uganda.actor.12,8,F,t6.dist,U,accept,high,t6
DI,Uganda,uganda.actor.13,9,F,t6.dist,E,accept,high,t6
AI,Uganda,uganda.actor.14,8,F,t6.dist,E,accept,low,t6
DI,Uganda,uganda.actor.15,7,M,t6.dist,E,accept,low,t6
DI,Uganda,uganda.actor.16,8,F,t6.dist,U,reject,low,t6
DI,Uganda,uganda.actor.17,8,F,t6.dist,U,reject,high,t6
AI,Uganda,uganda.actor.18,9,F,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.19,9,M,t6.dist,U,reject,high,t6
DI,Uganda,uganda.actor.20,9,F,t6.dist,U,reject,high,t6
DI,Uganda,uganda.actor.21,8,M,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.22,7,F,t6.dist,E,accept,low,t6
AI,Uganda,uganda.actor.23,7,M,t6.dist,U,accept,low,t6
DI,Uganda,uganda.actor.24,7,M,t6.dist,E,reject,low,t6
AI,Uganda,uganda.actor.25,9,F,t6.dist,U,reject,low,t6
DI,Uganda,uganda.actor.26,9,F,t6.dist,U,accept,low,t6
AI,Uganda,uganda.actor.27,7,M,t6.dist,U,accept,low,t6
DI,Uganda,uganda.actor.28,9,M,t6.dist,E,accept,high,t6
AI,Uganda,uganda.actor.29,7,M,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.30,7,M,t6.dist,U,accept,low,t6
DI,Uganda,uganda.actor.31,6,M,t6.dist,U,accept,low,t6
DI,Uganda,uganda.actor.32,5,F,t6.dist,E,accept,low,t6
DI,Uganda,uganda.actor.33,6,M,t6.dist,E,accept,high,t6
AI,Uganda,uganda.actor.34,4.5,M,t6.dist,E,reject,high,t6
AI,Uganda,uganda.actor.35,5,F,t6.dist,U,reject,low,t6
DI,Uganda,uganda.actor.36,6,F,t6.dist,U,accept,low,t6
AI,Uganda,uganda.actor.37,5,M,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.38,6,F,t6.dist,E,accept,low,t6
AI,Uganda,uganda.actor.39,5,M,t6.dist,E,accept,low,t6
DI,Uganda,uganda.actor.40,6,M,t6.dist,E,accept,low,t6
DI,Uganda,uganda.actor.41,6,F,t6.dist,U,reject,high,t6
AI,Uganda,uganda.actor.42,4.5,M,t6.dist,U,reject,low,t6
AI,Uganda,uganda.actor.43,5,F,t6.dist,U,accept,high,t6
AI,Uganda,uganda.actor.44,6,F,t6.dist,E,accept,low,t6
AI,Uganda,uganda.actor.45,5,F,t6.dist,U,accept,low,t6
DI,Uganda,uganda.actor.47,6,M,t6.dist,U,accept,high,t6
AI,Uganda,uganda.actor.48,5,F,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.49,6,M,t6.dist,U,accept,high,t6
AI,Uganda,uganda.actor.50,6,M,t6.dist,E,reject,high,t6
DI,Uganda,uganda.actor.51,5,F,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.53,6,F,t6.dist,U,accept,high,t6
DI,Uganda,uganda.actor.54,4,F,t6.dist,U,reject,low,t6
AI,Uganda,uganda.actor.55,5,F,t6.dist,E,accept,high,t6
AI,Uganda,uganda.actor.56,5,M,t6.dist,E,reject,high,t6
DI,Uganda,uganda.actor.57,6,M,t6.dist,U,accept,high,t6
AI,Uganda,uganda.actor.58,6,M,t6.dist,U,accept,low,t6
AI,Uganda,uganda.actor.59,15,M,t6.dist,U,reject,low,t6
AI,Uganda,uganda.actor.60,13,F,t6.dist,U,reject,low,t6
AI,Uganda,uganda.actor.61,13,F,t6.dist,U,accept,high,t6
DI,Uganda,uganda.actor.62,13,M,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.63,13,M,t6.dist,E,accept,low,t6
AI,Uganda,uganda.actor.64,15,M,t6.dist,U,reject,high,t6
AI,Uganda,uganda.actor.65,13,F,t6.dist,U,reject,low,t6
DI,Uganda,uganda.actor.66,15,F,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.67,12,M,t6.dist,E,accept,low,t6
DI,Uganda,uganda.actor.68,13,M,t6.dist,U,accept,high,t6
DI,Uganda,uganda.actor.69,13,F,t6.dist,E,accept,low,t6
AI,Uganda,uganda.actor.70,15,M,t6.dist,U,reject,low,t6
AI,Uganda,uganda.actor.71,13,M,t6.dist,U,reject,high,t6
DI,Uganda,uganda.actor.72,13,F,t6.dist,U,accept,high,t6
AI,Uganda,uganda.actor.73,13,F,t6.dist,U,reject,high,t6
DI,Uganda,uganda.actor.74,14,F,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.75,13,M,t6.dist,U,accept,low,t6
DI,Uganda,uganda.actor.76,13,M,t6.dist,E,accept,high,t6
AI,Uganda,uganda.actor.77,13,F,t6.dist,U,reject,low,t6
AI,Uganda,uganda.actor.78,13,M,t6.dist,U,reject,high,t6
AI,Uganda,uganda.actor.79,13,M,t6.dist,U,reject,high,t6
AI,Uganda,uganda.actor.80,14,M,t6.dist,E,reject,low,t6
DI,Uganda,uganda.actor.81,15,M,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.82,13,M,t6.dist,E,accept,low,t6
AI,Uganda,uganda.actor.83,14,F,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.84,13,F,t6.dist,U,accept,low,t6
AI,Uganda,uganda.actor.85,14,M,t6.dist,E,reject,low,t6
DI,Uganda,uganda.actor.86,13,F,t6.dist,E,reject,low,t6
DI,Uganda,uganda.actor.87,13,M,t6.dist,E,reject,low,t6
AI,Uganda,uganda.actor.88,10,M,t6.dist,U,accept,high,t6
AI,Uganda,uganda.actor.89,11,F,t6.dist,U,accept,high,t6
DI,Uganda,uganda.actor.90,12,M,t6.dist,U,accept,high,t6
DI,Uganda,uganda.actor.91,10,M,t6.dist,E,reject,low,t6
AI,Uganda,uganda.actor.92,11,M,t6.dist,U,accept,high,t6
DI,Uganda,uganda.actor.93,10,F,t6.dist,E,accept,low,t6
AI,Uganda,uganda.actor.94,10,F,t6.dist,E,reject,low,t6
AI,Uganda,uganda.actor.95,11,F,t6.dist,U,accept,high,t6
AI,Uganda,uganda.actor.96,10,F,t6.dist,U,accept,low,t6
AI,Uganda,uganda.actor.97,11,M,t6.dist,E,accept,low,t6
DI,Uganda,uganda.actor.98,10,M,t6.dist,U,accept,low,t6
DI,Uganda,uganda.actor.99,12,F,t6.dist,E,accept,low,t6
AI,Uganda,uganda.actor.100,12,M,t6.dist,U,accept,low,t6
AI,Uganda,uganda.actor.101,12,F,t6.dist,E,accept,high,t6
DI,Uganda,uganda.actor.102,10,F,t6.dist,U,accept,high,t6
AI,Uganda,uganda.actor.103,9,M,t6.dist,E,accept,low,t6
AI,Uganda,uganda.actor.104,11,M,t6.dist,E,accept,low,t6
DI,Uganda,uganda.actor.105,10,M,t6.dist,U,reject,high,t6
AI,Uganda,uganda.actor.106,11,F,t6.dist,E,accept,high,t6
AI,Uganda,uganda.actor.107,12,M,t6.dist,U,reject,low,t6
AI,Uganda,uganda.actor.108,10,M,t6.dist,U,accept,high,t6
DI,Uganda,uganda.actor.109,10,F,t6.dist,E,accept,low,t6
DI,Uganda,uganda.actor.110,11,F,t6.dist,E,reject,high,t6
DI,Uganda,uganda.actor.111,12,F,t6.dist,U,accept,high,t6
AI,Uganda,uganda.actor.112,10,F,t6.dist,E,accept,low,t6
DI,Uganda,uganda.actor.113,10,F,t6.dist,U,reject,high,t6
DI,Uganda,uganda.actor.114,11,M,t6.dist,E,accept,high,t6
AI,Uganda,uganda.actor.115,10,F,t6.dist,E,accept,high,t6
AI,Uganda,uganda.actor.116,11,F,t6.dist,U,accept,low,t6
DI,Uganda,uganda.actor.1,7,F,t7.dist,E,accept,low,t7
AI,Uganda,uganda.actor.2,8,M,t7.dist,U,accept,low,t7
AI,Uganda,uganda.actor.3,8,M,t7.dist,E,accept,low,t7
AI,Uganda,uganda.actor.4,9,M,t7.dist,E,accept,high,t7
DI,Uganda,uganda.actor.5,8,F,t7.dist,E,accept,high,t7
AI,Uganda,uganda.actor.6,7,F,t7.dist,U,accept,high,t7
AI,Uganda,uganda.actor.7,9,F,t7.dist,U,reject,high,t7
AI,Uganda,uganda.actor.8,8,F,t7.dist,E,accept,high,t7
AI,Uganda,uganda.actor.9,8,M,t7.dist,E,accept,high,t7
AI,Uganda,uganda.actor.10,9,F,t7.dist,E,accept,low,t7
DI,Uganda,uganda.actor.11,8,M,t7.dist,E,accept,high,t7
AI,Uganda,uganda.actor.12,8,F,t7.dist,E,reject,high,t7
DI,Uganda,uganda.actor.13,9,F,t7.dist,U,reject,high,t7
AI,Uganda,uganda.actor.14,8,F,t7.dist,E,accept,low,t7
DI,Uganda,uganda.actor.15,7,M,t7.dist,E,accept,low,t7
DI,Uganda,uganda.actor.16,8,F,t7.dist,U,reject,low,t7
DI,Uganda,uganda.actor.17,8,F,t7.dist,E,accept,high,t7
AI,Uganda,uganda.actor.18,9,F,t7.dist,E,accept,high,t7
DI,Uganda,uganda.actor.19,9,M,t7.dist,E,accept,high,t7
DI,Uganda,uganda.actor.20,9,F,t7.dist,E,accept,high,t7
DI,Uganda,uganda.actor.21,8,M,t7.dist,E,accept,high,t7
DI,Uganda,uganda.actor.22,7,F,t7.dist,E,accept,low,t7
AI,Uganda,uganda.actor.23,7,M,t7.dist,U,accept,low,t7
DI,Uganda,uganda.actor.24,7,M,t7.dist,E,reject,low,t7
AI,Uganda,uganda.actor.25,9,F,t7.dist,U,accept,low,t7
DI,Uganda,uganda.actor.26,9,F,t7.dist,U,reject,low,t7
AI,Uganda,uganda.actor.27,7,M,t7.dist,E,accept,low,t7
DI,Uganda,uganda.actor.28,9,M,t7.dist,E,accept,high,t7
AI,Uganda,uganda.actor.29,7,M,t7.dist,U,accept,high,t7
DI,Uganda,uganda.actor.30,7,M,t7.dist,U,accept,low,t7
DI,Uganda,uganda.actor.31,6,M,t7.dist,E,reject,low,t7
DI,Uganda,uganda.actor.32,5,F,t7.dist,U,accept,low,t7
DI,Uganda,uganda.actor.33,6,M,t7.dist,E,accept,high,t7
AI,Uganda,uganda.actor.34,4.5,M,t7.dist,E,reject,high,t7
AI,Uganda,uganda.actor.35,5,F,t7.dist,E,reject,low,t7
DI,Uganda,uganda.actor.36,6,F,t7.dist,U,accept,low,t7
AI,Uganda,uganda.actor.37,5,M,t7.dist,U,accept,high,t7
DI,Uganda,uganda.actor.38,6,F,t7.dist,U,accept,low,t7
AI,Uganda,uganda.actor.39,5,M,t7.dist,U,accept,low,t7
DI,Uganda,uganda.actor.40,6,M,t7.dist,E,accept,low,t7
DI,Uganda,uganda.actor.41,6,F,t7.dist,E,accept,high,t7
AI,Uganda,uganda.actor.42,4.5,M,t7.dist,E,accept,low,t7
AI,Uganda,uganda.actor.43,5,F,t7.dist,E,reject,high,t7
AI,Uganda,uganda.actor.44,6,F,t7.dist,U,accept,low,t7
AI,Uganda,uganda.actor.45,5,F,t7.dist,U,reject,low,t7
DI,Uganda,uganda.actor.47,6,M,t7.dist,E,accept,high,t7
AI,Uganda,uganda.actor.48,5,F,t7.dist,U,reject,high,t7
DI,Uganda,uganda.actor.49,6,M,t7.dist,U,accept,high,t7
AI,Uganda,uganda.actor.50,6,M,t7.dist,U,accept,high,t7
DI,Uganda,uganda.actor.51,5,F,t7.dist,NA,NA,high,t7
DI,Uganda,uganda.actor.53,6,F,t7.dist,E,accept,high,t7
DI,Uganda,uganda.actor.54,4,F,t7.dist,E,reject,low,t7
AI,Uganda,uganda.actor.55,5,F,t7.dist,E,reject,high,t7
AI,Uganda,uganda.actor.56,5,M,t7.dist,U,accept,high,t7
DI,Uganda,uganda.actor.57,6,M,t7.dist,E,accept,high,t7
AI,Uganda,uganda.actor.58,6,M,t7.dist,U,reject,low,t7
AI,Uganda,uganda.actor.59,15,M,t7.dist,U,reject,low,t7
AI,Uganda,uganda.actor.60,13,F,t7.dist,U,reject,low,t7
AI,Uganda,uganda.actor.61,13,F,t7.dist,E,reject,high,t7
DI,Uganda,uganda.actor.62,13,M,t7.dist,E,accept,high,t7
DI,Uganda,uganda.actor.63,13,M,t7.dist,U,reject,low,t7
AI,Uganda,uganda.actor.64,15,M,t7.dist,E,accept,high,t7
AI,Uganda,uganda.actor.65,13,F,t7.dist,U,accept,low,t7
DI,Uganda,uganda.actor.66,15,F,t7.dist,U,reject,high,t7
DI,Uganda,uganda.actor.67,12,M,t7.dist,E,accept,low,t7
DI,Uganda,uganda.actor.68,13,M,t7.dist,E,accept,high,t7
DI,Uganda,uganda.actor.69,13,F,t7.dist,U,reject,low,t7
